2019-04-02 13:34:02 status unpacked libboost-system-dev:amd64 1.65.1.0ubuntu1
2019-04-02 13:34:02 install libboost-atomic1.65.1:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:02 status half-installed libboost-atomic1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:02 status unpacked libboost-atomic1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:02 status unpacked libboost-atomic1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:03 install libboost-atomic1.65-dev:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:03 status half-installed libboost-atomic1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:03 status unpacked libboost-atomic1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:03 status unpacked libboost-atomic1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:03 install libboost-chrono1.65.1:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:03 status half-installed libboost-chrono1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:04 status unpacked libboost-chrono1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:05 status unpacked libboost-chrono1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:06 install libboost-chrono1.65-dev:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:06 status half-installed libboost-chrono1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:06 status unpacked libboost-chrono1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:06 status unpacked libboost-chrono1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:07 install libboost-serialization1.65.1:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:07 status half-installed libboost-serialization1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:08 status unpacked libboost-serialization1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:08 status unpacked libboost-serialization1.65.1:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:08 install libboost-serialization1.65-dev:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:08 status half-installed libboost-serialization1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:09 status unpacked libboost-serialization1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:09 status unpacked libboost-serialization1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:09 install libboost-date-time1.65-dev:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:09 status half-installed libboost-date-time1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:10 status unpacked libboost-date-time1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:10 status unpacked libboost-date-time1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:10 install libboost-thread1.65-dev:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:10 status half-installed libboost-thread1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:11 status unpacked libboost-thread1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:11 status unpacked libboost-thread1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:11 install libboost-thread-dev:amd64 <none> 1.65.1.0ubuntu1
2019-04-02 13:34:11 status half-installed libboost-thread-dev:amd64 1.65.1.0ubuntu1
